ID,version,HIP,TYC,UCAC,TWOMASS,SDSS,ALLWISE,GAIA,APASS,KIC,objType,typeSrc,ra,dec,POSflag,pmRA,e_pmRA,pmDEC,e_pmDEC,PMflag,plx,e_plx,PARflag,gallong,gallat,eclong,eclat,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,TWOMflag,prox,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,GAIAmag,e_GAIAmag,Tmag,e_Tmag,TESSflag,SPFlag,Teff,e_Teff,logg,e_logg,MH,e_MH,rad,e_rad,mass,e_mass,rho,e_rho,lumclass,lum,e_lum,d,e_d,ebv,e_ebv,numcont,contratio,disposition,duplicate_id,priority,eneg_EBV,epos_EBV,EBVflag,eneg_Mass,epos_Mass,eneg_Rad,epos_Rad,eneg_rho,epos_rho,eneg_logg,epos_logg,eneg_lum,epos_lum,eneg_dist,epos_dist,distflag,eneg_Teff,epos_Teff,TeffFlag,gaiabp,e_gaiabp,gaiarp,e_gaiarp,gaiaqflag,starchareFlag,VmagFlag,BmagFlag,splists,e_RA,e_Dec,RA_orig,Dec_orig,e_RA_orig,e_Dec_orig,raddflag,wdflag,objID
456201468,20190415,,,,03290992+4508034,,J032909.93+450803.2,241839201733190528,,,STAR,tmgaia2,52.2912557662981,45.1343057662109,tmgaia2,-6.77516,2.30616,-4.39337,2.30615,hsoy,nan,nan,,149.93575600467,-9.30834537599475,61.4782075614821,25.3582722293612,18.618,0.097,18.3243,0.0477,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15.9,0.073,15.429,0.103,15.342,0.149,AAB-222-111-000-0-0,nan,15.169,0.041,15.195,0.085,12.602,nan,9.053,nan,17.982,0.003435,17.3084,0.0069,gbprp,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,DWARF,nan,nan,nan,nan,nan,nan,,nan,,,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,18.3932,0.018442,17.0436,0.019215,0,,gaia2,bpbj,,38.7112652996592,35.745598329102,52.2912144154744,45.1342868503196,0.190008932048813,0.139787516872911,1,0,47705663
456201473,20190415,,,,03291178+4508131,1237670458586957183,J032911.86+450813.0,241839575395725184,,,STAR,tmgaia2,52.2991008300247,45.1370811490021,tmgaia2,-0.752436,0.258212,-1.6503,0.213768,gaia2,0.322132,0.13608,gaia2,149.938741399897,-9.30290019837849,61.4849325666753,25.3594552458573,18.733,0.146,18.2354,0.0463,20.1788,0.0541822,18.6761,0.00809598,17.9147,0.00673059,17.5898,0.00671532,17.3795,0.0160534,16.509,0.129,15.618,0.125,15.721,0.226,BBD-222-111-000-0-0,nan,15.764,0.049,15.683,0.12,12.535,nan,8.885,nan,17.9529,0.001318,17.3249,0.0085,rered,gaia2,5359.0,128.0,4.57345,nan,nan,nan,0.825181,nan,0.93,nan,1.65514,nan,DWARF,0.5059744,nan,2469.46,797.91,0.194563,0.00930121,,nan,,,nan,0.00785222,0.0107502,panstarrs,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,606.06,989.76,bj2018,nan,nan,dered,18.47,0.013846,17.253,0.00532,1,,gaia2,bpbj,,4.335664636052,3.31443853145359,52.2990962374597,45.1370740435438,0.112876004292882,0.0828052629260212,1,0,47705668
642817713,20190415,,,,,1237670960559884000,,241643209495172864,,,STAR,gaia2,52.3483927075188,44.8090210662073,gaia2,2.73685,0.902763,-0.0136199,0.518858,gaia2,0.4145,0.399589,gaia2,150.15839239587,-9.55167182680569,61.4246387598989,25.0340893771065,nan,nan,19.7137,0.0534,22.2941,0.260982,20.185,0.0205966,19.4218,0.0154628,19.0377,0.0150675,18.9713,0.0455009,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,19.4705,0.003554,18.8888,0.0094,rered,gaia2,5593.0,239.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,DWARF,nan,nan,1819.89,981.01,0.184826,0.008809245,,nan,,,nan,0.0121124,0.00550609,panstarrs,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,684.95,1277.07,bj2018,nan,nan,dered,19.9451,0.053471,18.8235,0.043347,1,,gaia2,,,15.1387137825965,8.04478588228952,52.3484093168603,44.8090210075673,0.320286190948225,0.200016715510703,1,0,47888461
642838216,20190415,,,,,1237670960559947867,,241832119335675648,,,STAR,gaia2,52.2563178188693,44.8728316289045,gaia2,nan,nan,nan,nan,,nan,nan,,150.067045330056,-9.53682702519495,61.3741375002652,25.1130888710873,nan,nan,20.9291,0.1187,30.0,50.0,22.2577,0.0961042,20.7487,0.0411401,20.3311,0.0402465,19.9398,0.10002,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,20.8039,0.014976,20.3994,0.1288,gbprp,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,,nan,,,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,20.7384,0.377179,19.9698,0.12476,0,,gaia2,,,1.39651879134904,0.834317838826638,52.2563178188693,44.8728316289045,1.39651879134904,0.834317838826638,-1,-1,47893261
642838727,20190415,,,,,1237670458586956697,,241837101494347776,,,STAR,gaia2,52.2114404395244,45.0292271455573,gaia2,0.454336,0.35163,-0.383841,0.276012,gaia2,0.275676,0.171982,gaia2,149.949885433038,-9.42676544632563,61.3868538948816,25.272260194637,nan,nan,18.4344,0.0462,20.0943,0.0511351,18.6769,0.00811676,18.2046,0.00775419,18.0169,0.00826465,17.952,0.0240717,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.2749,0.001618,17.8127,0.0112,rered,gaia2,6318.0,137.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,DWARF,nan,nan,2514.49,923.445,0.174619,0.0105756149,,nan,,,nan,0.0136158,0.00753543,panstarrs,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,694.76,1152.13,bj2018,nan,nan,dered,18.6067,0.015795,17.7211,0.009293,1,,gaia2,,,5.90151195392824,4.27941665575243,52.2114432073773,45.0292254929086,0.135737452924459,0.102622916228782,1,0,47893772
642838138,20190415,,,,,1237670960559947798,,241831294701951872,,,STAR,gaia2,52.283621602151,44.84829413325,gaia2,-5.19011,4.44916,-2.11005,2.10127,gaia2,0.496826,1.66342,gaia2,150.097392210634,-9.54584589131462,61.3874272412638,25.0842519348924,nan,nan,21.0999,0.0782,24.2064,1.40491,21.704,0.0575837,20.7356,0.037761,20.297,0.0373336,19.966,0.101925,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,20.8415,0.012624,20.2506,0.0292,gbprp,gaia2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,1560.1,1124.54,0.186861,0.0197288,,nan,,,nan,0.025191,0.0142666,panstarrs,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,829.195,1419.89,bj2018,nan,nan,,20.9904,0.132051,19.831,0.074973,0,,gaia2,,,74.6220320106501,32.57855010687,52.2835900830451,44.8482850483168,1.58496071607494,0.75996451668231,1,1,47893183
456192745,20190415,,,676-020019,03284755+4500536,1237670458586891106,J032847.54+450053.6,241836727836362752,53465196,,STAR,tmgaia2,52.1981258980763,45.0149052654207,tmgaia2,0.941426,0.0547163,-1.30228,0.0402647,gaia2,0.587134,0.0265271,gaia2,149.950364140457,-9.44389622211205,61.3725632844765,25.2610053722319,15.167,0.177,14.156,0.103,16.1747,0.00609756,14.6703,0.00291725,14.0581,0.00335306,14.2744,0.00258177,13.6859,0.00368915,12.775,0.027,12.419,0.03,12.363,0.024,AAA-222-111-000-0-0,nan,12.257,0.024,12.268,0.023,12.046,0.307,9.018,nan,14.0947,0.000216,13.5503,0.0087,rered,gaia2,5748.0,122.0,3.6076,nan,nan,nan,2.6403,nan,1.03,nan,0.0559597,nan,DWARF,6.855979,nan,1622.73,70.36,0.166045,0.009659935,,nan,,,nan,0.010356,0.00896387,panstarrs,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,67.38,73.34,bj2018,nan,nan,dered,14.5363,0.00152,13.4897,0.000827,1,,ucac4,apassdr9,,0.918255260559998,0.624282959333628,52.1981316318876,45.0148996583819,0.020376364057495,0.0149948636615799,1,0,47696940
456192756,20190415,,,676-020021,03284937+4500334,1237670458586891911,J032849.35+450034.0,241836727836364800,,,STAR,tmgaia2,52.2057140089625,45.0092961936553,tmgaia2,-6.30143,0.177009,-0.461106,0.133404,gaia2,0.463926,0.0878835,gaia2,149.958077245143,-9.44542893365001,61.3766034456485,25.2541578812229,18.243,0.078,17.3537,0.0461,19.5132,0.0345647,17.7773,0.00537044,16.9703,0.00475803,16.6163,0.0047707,16.3972,0.00887844,15.376,0.046,14.974,0.084,14.669,0.07,AAA-222-111-000-0-0,nan,14.57,0.032,14.616,0.057,12.44,0.435,9.026,nan,17.0371,0.001496,16.3741,0.0096,rered,gaia2,5076.0,124.0,4.27017,nan,nan,nan,1.11856,nan,0.85,nan,0.607352,nan,DWARF,0.7483418,nan,1992.73,373.16,0.167319,0.01208115,,nan,,,nan,0.0105905,0.0135718,panstarrs,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,310.07,436.25,bj2018,nan,nan,dered,17.6131,0.008313,16.3188,0.005608,1,,gaia2,bpbj,,2.97059678170494,2.06840216971042,52.2056756334852,45.0092942083442,0.0690514848257794,0.0514572348533835,1,0,47696951
642838601,20190415,,,,,1237670458586892105,,241835864545486208,,,STAR,gaia2,52.1984751712774,44.9644246393932,gaia2,nan,nan,nan,nan,,nan,nan,,149.979834278637,-9.48516649059663,61.3577962237763,25.2123267433273,nan,nan,21.4778,0.2378,23.3518,0.765721,24.1794,0.607757,21.1642,0.0635224,20.2692,0.0398575,19.8366,0.112586,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,20.9087,0.017514,20.0713,0.0797,gbprp,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,,nan,,,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,21.1969,0.349628,19.4321,0.139175,0,,gaia2,,,2.30722399625961,1.4031305573597,52.1984751712774,44.9644246393932,2.30722399625961,1.4031305573597,-1,-1,47893646
642838252,20190415,,,,,1237670960559947937,,241832467224952704,,,STAR,gaia2,52.224855068801,44.9119752701446,gaia2,3.39216,1.35404,-0.478474,0.897437,gaia2,0.115474,0.672355,gaia2,150.025796081599,-9.51749419970163,61.3620461388021,25.1567858013381,nan,nan,20.235,0.0606,23.4745,0.73636,20.9824,0.03358,19.9101,0.0222282,19.4761,0.0208508,19.2935,0.0581671,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,19.9498,0.005327,19.3305,0.0193,gbprp,gaia2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,1888.81,1104.39,0.20414,0.01504355,,nan,,,nan,0.015413,0.0146741,panstarrs,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,809.67,1399.1,bj2018,nan,nan,,20.3625,0.081146,19.1391,0.041278,0,,gaia2,,,22.7151606065385,13.9150299126431,52.2248756919194,44.91197321005,0.496404280643533,0.363797505420266,1,0,47893297
